,Review,Brand,Variety,Style,Country,Stars
386,2194,fuku,chicken flavour instant noodle,pack,hong kong,4.0
387,2193,knorr,chicken flavored instant noodles,pack,pakistan,3.0
388,2192,nyor nyar,penang white curry instant noodle,pack,malaysia,5.0
389,2191,choumama,xo scallops sauce dry noodles,pack,taiwan,4.0
390,2190,myojo,barikata noukou tonkotsu shoyu,bowl,japan,4.75
391,2189,nissin,demae ramen sesame oil flavour cup,cup,hong kong,4.0
392,2188,singa-me,instant noodles chicken flavour,cup,australia,2.5
393,2187,pulmuone,non-fried ramyun noodle (crab flavor),pack,south korea,5.0
394,2186,master kong,assorted seafood noodles,pack,china,4.0
395,2185,nissin,raoh hot & sour ramen,pack,japan,5.0
396,2184,president rice,coriander instant rice noodles,bowl,thailand,2.75
397,2183,mama,instant rice noodles moo nam tok flavour,pack,thailand,3.5
398,2182,mama,instant rice vermicelli clear soup,pack,thailand,3.5
399,2181,mama,instant rice noodles chicken flavour,pack,thailand,4.0
400,2180,mama,pho ga rice noodles with artificial chicken flavour,bowl,thailand,3.0
401,2179,mama,oriental kitchen instant rice vermicelli in gravy,pack,thailand,5.0
402,2178,mama,instant tom yam rice noodles,pack,thailand,4.0
403,2177,mama,instant rice noodles vegetable flavour,pack,thailand,4.0
404,2176,mama,instant rice vermicelli yentafo tom yam mohfai,pack,thailand,5.0
405,2175,mama,instant flat noodles clear soup,pack,thailand,4.0
406,2174,mama,cup rice noodles tom saab flavour,cup,thailand,5.0
407,2173,mama,instant rice noodles stew beef flavour,pack,thailand,4.0
408,2172,mama,instant rice noodles phnom penh style,pack,thailand,4.0
409,2171,mama,instant flat noodles tom yam flavour,pack,thailand,4.0
410,2170,maruchan,ramen noodle soup mushroom flavor,pack,usa,4.0
411,2169,happy family,vegetable flavour instant noodles,pack,singapore,4.0
412,2168,tseng noodles,rice noodle shallot with braised pork flavor,pack,taiwan,5.0
413,2167,great value,vegetable flavour noodles with vegetables,cup,canada,3.0
414,2166,jml,instant noodle artificial beef flavor 7 sour pickled cabbage,pack,china,4.0
415,2165,suimin,noodles with hot & spicy flavour,cup,australia,3.0
416,2164,tseng noodles,rice noodle chinese mushroom with soybean vegetarian braised pork flavor,pack,taiwan,5.0
417,2163,nissin,piritto karakuchi tantan udon,bowl,japan,4.0
418,2162,tseng noodles,rice noodle seafood laksa flavour,pack,taiwan,5.0
419,2161,nongshim,chal bibim myun,pack,south korea,5.0
420,2160,menraku,japanese yakisoba umami sauce,bowl,japan,5.0
421,2159,la moderna,sazon casero sopa con tomate y sabor pollo,pack,mexico,3.0
422,2158,a-sha dry noodle,chow mein original flavor,tray,taiwan,5.0
423,2157,master kong,artificial mushroom chicken flavor instant noodle,pack,china,4.0
424,2156,a-sha dry noodle,chow mein oyster sauce bbq flavor,tray,taiwan,2.0
425,2155,jingqi,aloe vera guan mian purple sweet potato noodle with spicy miso sauce,pack,taiwan,4.0
426,2154,jingqi,black eyes bean original noodle with sesame sauce,pack,taiwan,4.0
427,2153,jingqi,aloe vera guan mian pumpkin noodle with basil sauce,pack,taiwan,4.0
428,2152,jingqi,black eyes bean cyanobacteria noodle with ginger oil sauce,pack,taiwan,5.0
429,2151,jingqi,aloe vera guan mian original noodle with sesame sauce,pack,taiwan,5.0
430,2150,jingqi,black eyes bean purple sweet potato noodle with spicy miso sauce,pack,taiwan,3.0
431,2149,jingqi,aloe vera guan mian cyanobacteria noodle with ginger oil sauce,pack,taiwan,5.0
432,2148,jingqi,black eyes bean pumpkin noodles with basil sauce,pack,taiwan,5.0
433,2147,maruchan,instant lunch pork flavor ramen noodles with vegetables,cup,usa,3.0
434,2146,sapporo ichiban,kun ramen sumo-kuchikin (smoked chicken),bowl,japan,3.0
435,2145,dream kitchen,tonkotsu,cup,usa,3.0
436,2144,nissin,lamen sabor picanha,pack,brazil,4.0
437,2143,thien houng foods,lemon chicken flavour instant noodles,pack,vietnam,3.0
438,2142,maruchan,bowl taste of asia miso chicken flavor spicy miso ramen,bowl,usa,4.0
439,2141,nissin,men shokunin kaoruyasai shio,bowl,japan,5.0
440,2140,wang,rice noodle seafood flavour,bowl,south korea,5.0
441,2139,fuku,superior soup instant noodles (mfg in thailand),pack,hong kong,4.0
442,2138,fuku,superior soup instant noodles (mfg in vietnam),pack,hong kong,4.0
443,2137,nissin,demae ramen spicy curry flavour instant noodles,pack,hong kong,4.0
444,2136,nissin,demae ramen roast beef flavour instant noodles,pack,hong kong,4.0
445,2135,doll,instant noodle supreme abalone and chicken flavour,pack,hong kong,2.0
446,2134,four seas,chicken flavour instant noodle,pack,hong kong,4.0
447,2133,nissin,kimchi chikin ramen donburi,bowl,japan,5.0
448,2132,maruchan,instant lunch chipotle chicken flavor ramen noodle soup,cup,usa,5.0
449,2131,myojo,mee goreng thai tom yum flavour,pack,singapore,4.0
450,2130,kang shi fu,artificial salted beef with mushrooms flavour,pack,hong kong,4.0
451,2129,carjen,hot & spicy dry curry with chives soup,pack,malaysia,5.0
452,2128,sapporo ichiban,taimeiken yousyoku yasangatsukutta omumen,cup,japan,4.0
453,2127,suimin,noodles with chicken & sweet corn flavour,cup,australia,2.25
454,2126,nissin,mennippon oumi chanpon,bowl,japan,5.0
455,2125,happy family,curry flavour instant noodles,pack,singapore,4.0
456,2124,7 select,nissin instant noodles tom yum seafood creamy flavour king cup,bowl,thailand,3.5
457,2123,nissin,cup noodles tom yum shrimp sabb flavour,cup,thailand,5.0
458,2122,nissin,chilli noodles stir fried holy basil flavour,pack,thailand,5.0
459,2121,nissin,instant noodles moo manao flavour,pack,thailand,4.0
460,2120,nissin,super tom yum shrimp,cup,thailand,3.5
461,2119,nissin,cup noodles minced pork flavour,cup,thailand,3.5
462,2118,nissin,chilli noodles tom yum shrimp creamy soup flavour,cup,thailand,3.25
463,2117,7 select,nissin instant noodles shrimp ma nao lui suan flavour king cup,bowl,thailand,4.0
464,2116,nissin,instant noodles tom yum shrimp saab flavour,pack,thailand,4.0
465,2115,nissin,cup noodles moo manao flavour,cup,thailand,4.0
466,2114,nissin,instant noodles minced pork flavour,pack,thailand,3.5
467,2113,nissin,cup noodles seafood creamy flavour,cup,thailand,4.0
468,2112,nissin,chilli noodles spicy tom yum flavour,pack,thailand,4.0
469,2111,nissin,cup noodles chilli crab flavour,cup,hong kong,3.75
470,2110,great value,vegetarian flavour ramen noodles,pack,canada,3.0
471,2109,oni hot pot,tuna with shallot flavor noodle,pack,taiwan,4.3
472,2108,weh lih,gge noodle snack wheat crackers original ramen,pack,taiwan,1.0
473,2107,nissin,lamen sabor frango assado com toque de limao,pack,brazil,4.5
474,2106,itomen,onion flavor shoyu ramen,pack,japan,3.5
475,2105,maruchan,ramen noodle soup chicken tortilla flavor,pack,usa,3.0
476,2104,wang,rice noodle kimchi flavor,bowl,south korea,4.0
477,2103,roland,ramen japanese style quick-cooking alimentary paste with beef artificially flavored soup base,pack,usa,0.0
478,2102,nissin,cup noodles singapore laksa,cup,japan,5.0
479,2101,samyang foods,pojangmacha udon,pack,south korea,4.0
480,2100,myojo,mee goreng original flavour,pack,singapore,4.0
481,2099,sanpo,yakibuta ramen,bowl,japan,4.0
482,2098,nongshim,kimchi flavor noodle soup,cup,usa,5.0
483,2097,carjen,otentiq cheezy mushroom instant noodles (improved taste),pack,malaysia,5.0
484,2096,maruchan,seimen noukou toro tonkotsu,bowl,japan,4.0
485,2095,nissin,straits kitchen laksa,pack,singapore,5.0
486,2094,nongshim,champong noodle soup spicy seafood flavor,pack,south korea,5.0
487,2093,oni hot pot,seaweed flavour noodle,pack,taiwan,2.0
488,2092,doll,instant noodle preserved vegetable flavour,pack,hong kong,4.0
489,2091,mykuali,penang hokkien prawn noodle authentic taste,cup,malaysia,5.0
490,2090,nissin,nupasta salmon in white sauce flavour instant noodle,pack,hong kong,5.0
491,2089,nissin,big cup noodles seafood curry flavour,cup,hong kong,5.0
492,2088,nissin,demae iccho beef flavour instant noodle,bowl,hong kong,4.0
493,2087,nissin,mie goreng indonesia stir noodle original flavour,pack,hong kong,4.0
494,2086,nissin,demae ramen sesame flavour instant noodles,pack,hong kong,5.0
495,2085,fuku,superior soup instant rice vermicelli,bowl,hong kong,5.0
496,2084,nissin,demae ramen straight noodle kyushu tonkotsu instant noodle,pack,hong kong,5.0
497,2083,nissin,taisho fried noodle sesame paste flavour instant noodle,pack,hong kong,5.0
498,2082,nissin,cup noodles pork chowder flavour,cup,hong kong,4.0
499,2081,nissin,cup mifun spicy beef flavour,cup,hong kong,4.0
500,2080,fuku,non-fried superior soup noodle,pack,hong kong,4.0
501,2079,nissin,nupasta carbonara flavour instant noodle,cup,hong kong,5.0
502,2078,nissin,demae iccho curry beef flavour,cup,hong kong,4.0
503,2077,nissin,cup noodles big spicy seafood flavour,cup,hong kong,5.0
504,2076,nissin,demae iccho black garlic oil tonkotsu,bowl,hong kong,3.75
505,2075,mi sedaap,mi segera mi goreng ayam krispi,pack,indonesia,4.5
506,2074,nissin,cup noodles sabor pollo habanero y limon sopa instantanea,cup,mexico,3.5
507,2073,great value,spicy ramen noodles,pack,canada,4.0
508,2072,maruchan,bowl taste of asia beef flavor sukiyaki ramen,bowl,usa,5.0
509,2071,a-sha dry noodle,tainan noodle original sauce,pack,taiwan,5.0
510,2070,tokushima seifun,negi ramen,bowl,japan,1.75
511,2069,doll,instant noodle vegetarian flavour,pack,hong kong,3.75
512,2068,maggi,fusian special edition ow... ow... spicy cow mi goreng,pack,australia,5.0
513,2067,samyang foods,fresh jjajang,pack,south korea,4.5
514,2066,marutai,hakata tonkotsu ramen,pack,japan,5.0
515,2065,four seas,kung tak lam vegetarian noodle (mushroom),pack,hong kong,3.0
516,2064,nongshim,arrabiata rice bucatini,pack,usa,5.0
517,2063,mamee,pepper noodles vegetarian,pack,hong kong,3.25
518,2062,ottogi,ramyon sabor mariscos,pack,mexico,3.75
519,2061,kamfen,dried mix noodles scallop seafood flavoured,tray,hong kong,4.25
520,2060,nissin,cup noodle light+ cheese fondue,cup,japan,5.0
521,2059,four seas,beef and radish flavour instant noodle,pack,hong kong,2.5
522,2058,zow zow,instant noodle shrimp tom yam flavoured,pack,thailand,3.75
523,2057,nissin,rapifideo sabor a chile y limon,cup,mexico,3.75
524,2056,koyo,garlic pepper reduced sodium ramen,pack,usa,0.0
525,2055,nissin,tokyo tokunou gyokai tonkotsu,bowl,japan,5.0
526,2054,suimin,noodles curried prawn flavour,cup,australia,3.25
527,2053,maruchan,instant lunch sriracha chicken flavor ramen noodle soup,cup,usa,3.75
528,2052,indomie,pop mie mi instan cup rasa ayam,cup,indonesia,3.5
529,2051,master kong,artificial pork ribs flavour instant noodle,pack,china,3.5
530,2050,mykuali,penang red tom yum goong noodle authentic taste,cup,malaysia,5.0
531,2049,ottogi,ramyon sabor a res,pack,mexico,4.0
532,2048,acecook,kadomen koikoku tonkotsu,bowl,japan,3.8
533,2047,oni hot pot,xo sauce noodle,pack,taiwan,5.0
534,2046,e-zee,perisa asam pedas mi segera,pack,malaysia,4.0
535,2045,great value,chicken style ramen noodles,pack,canada,3.5
536,2044,doll,hello kitty dim sum noodle japanese soy sauce flavour,cup,hong kong,3.0
537,2043,oree garden,malaysia green curry noodle,bowl,malaysia,5.0
538,2042,suimin,noodles mi goreng,cup,australia,4.3
539,2041,master kong,tomato sauce instant noodle,pack,china,4.5
540,2040,nissin,cup noodles sabor franhp com requeijao,cup,brazil,5.0
541,2039,tokushima seifun,yakibuta ramen,bowl,japan,5.0
542,2038,a1,vegetarian herbal noodle,pack,malaysia,1.5
543,2037,migawon,hovenia ramen vegetable flavor,pack,south korea,3.5
544,2036,a-sha dry noodle,hakka bbq sauce noodle,pack,taiwan,4.25
545,2035,acecook,maru uma curry udon,cup,japan,3.5
546,2034,fantastic,noodles oriental flavour,cup,australia,3.25
547,2033,chaudhary's wai wai,instant noodles artificial chicken & shrimp flavored,pack,india,2.5
548,2032,kamfen,noodle king artificial beef soup flavored,bowl,hong kong,3.75
549,2031,carjen,otentiq cheezy curry instant noodles (improved taste),pack,malaysia,5.0
550,2030,myojo,charumera atyificial tonkotsu shouyu flavor,pack,japan,3.75
551,2029,singa-me,instant noodles beef flavour,cup,australia,2.0
552,2028,maruchan,"sopa maruchan sabor a camaron, limon y habanero",pack,mexico,3.5
553,2027,nissin,shinshu miso ramen,bowl,japan,5.0
554,2026,mykuali,penang white curry authentic taste cup,cup,malaysia,4.75
555,2025,urban noodle,authentic street food chow mein,cup,uk,2.0
556,2024,urban noodle,authentic street food pad thai,cup,uk,2.5
557,2023,urban noodle,authentic street food black bean,cup,uk,0.0
558,2022,urban noodle,authentic street food thai red curry,cup,uk,3.0
559,2021,urban noodle,authentic street food satay,cup,uk,5.0
560,2020,kang shi fu,artificial roasted beef,pack,china,3.5
561,2019,acecook,seabura tonkotsu ramen,cup,japan,3.75
562,2018,pulmuone,noodle with spicy oyster soup,pack,south korea,4.0
563,2017,samyang foods,honey & cheese big bowl,bowl,south korea,0.0
564,2016,great value,chicken style noodles with vegetables,cup,canada,3.5
565,2015,e-zee,perisa kari mi segera (improved taste),pack,malaysia,5.0
566,2014,oni hot pot,ghost pepper noodle,pack,taiwan,4.5
567,2013,great value,beef style ramen noodles,pack,canada,3.5
568,2012,mama,vegetarian instant noodles shiitake flavour,pack,thailand,2.0
569,2011,trident,2 minute laksa flavour noodles,pack,australia,2.0
570,2010,mama,rangers snack noodles popcorn flavour,pack,myanmar,3.75
571,2009,conimex,oriental noodles soto ajam,cup,netherlands,3.0
572,2008,sichuan baijia,hot spicy flavor instant vermicelli,bowl,china,3.5
573,2007,nongshim,rice fettucini alfredo,pack,united states,3.75
574,2006,kamfen,wonton noodles beef flavour,bowl,hong kong,3.75
575,2005,a-sha dry noodle,hakka spicy barbeque sauce,pack,taiwan,4.5
576,2004,nissin,donbei dashi shoyu yakiudon,bowl,japan,3.75
577,2003,nissin,raoh rich miso flavor,bowl,japan,5.0
578,2002,nissin,cup noodles tom yum goong,cup,japan,3.8
579,2001,nissin,cup noodle big seafood clam chowder,cup,japan,4.0
580,2000,nissin,chikin ramen donburi,bowl,japan,5.0
581,1999,nissin,curry udon,cup,japan,5.0
582,1998,nissin,men shokunin shoyu,bowl,japan,5.0
583,1997,nissin,cup noodle vegeta buta-kyabetsu tonkotsu,cup,japan,4.3
584,1996,nissin,cup noodle pasta style tarako spaghetti,cup,japan,4.0
585,1995,nissin,cup noodle big cheese mexican chilli,cup,japan,5.0
586,1994,nissin,gyoretsu-no-dekiru-mise-no-ramen (shrimp tantanmen),bowl,japan,5.0
587,1993,nissin,raoh tonkotsu,pack,japan,5.0
588,1992,nissin,cup noodle light plus ratatouille,cup,japan,4.5
589,1991,nissin,cup noodle milk chikin ramen,cup,japan,5.0
590,1990,nissin,cup noodle,cup,japan,5.0
591,1989,mykuali,penang white curry noodle authentic taste,pack,malaysia,5.0
592,1988,mama,instant noodles chicken soup flavour,pack,myanmar,3.5
593,1987,nissin,yokohama walker iekei ramen,bowl,japan,4.5
594,1986,a-sha dry noodle,quinoa noodle with oyster sauce and vegetables,pack,taiwan,4.25
595,1985,prima taste,singapore prawn soup la mian,pack,singapore,5.0
596,1984,nissin,chinese tan tan vermicelli,cup,hong kong,5.0
597,1983,tokushima seifun,tokushima ramen,pack,japan,4.0
598,1982,master kong,assorted pork bone noodle,pack,china,4.0
599,1981,mykuali,penang red tom yum goong noodle authentic taste,pack,malaysia,5.0
600,1980,suimin,noodles witrh prawn & chicken flavour,cup,australia,3.5
601,1979,nissin,big cup noodle ajillo,cup,japan,3.0
602,1978,carjen,nyonya curry laksa (improved taste),pack,malaysia,5.0
603,1977,myori,malaysia penang green curry vermicelli (new package),pack,malaysia,5.0
604,1976,itsuki,kumamoto spicy ramen,pack,japan,4.25
605,1975,nissin,soba fried noodles classic,pack,germany,3.25
606,1974,samyang foods,cheese curry ramyun,pack,south korea,5.0
607,1973,nissin,cup noodles sabor calabresa,pack,brazil,4.25
608,1972,doll,spicy flavour instant mifun,pack,hong kong,2.75
609,1971,fujiwara,horse crab flavour ramen,pack,japan,3.5
610,1970,myori,malaysia penang red curry noodle,pack,malaysia,5.0
611,1969,nongshim,noodle soup seasoned with real kimchi,pack,usa,4.75
612,1968,nissin,top ramen chicken flavor ramen noodle soup (new packaging),pack,usa,3.5
613,1967,tokushima seifun,kinchan ramen,pack,japan,4.5
614,1966,wei lih,gge noodle snack wheat crackers soy sauce ramen,pack,taiwan,3.75
615,1965,mykuali,penang spicy prawn soup noodle authentic taste,pack,malaysia,5.0
616,1964,mama,instant noodles coconut milk flavour,pack,myanmar,5.0
617,1963,kabuto noodles,rice noodles vegetable laksa,cup,uk,3.75
618,1962,kabuto noodles,rice noodles chicken pho,cup,uk,3.5
619,1961,kabuto noodles,chicken ramen,cup,uk,4.25
620,1960,kabuto noodles,chilli chicken ramen,cup,uk,4.0
621,1959,myojo,charumera shoyu ramen,pack,japan,4.0
622,1958,iburamen,mi goreng bento noodles in a box curry masala flavour,tray,usa,4.0
623,1957,mama,cup vegetarian instant noodles tom yum flavour,cup,thailand,4.0
624,1956,maruchan,spicy tomato salsa ramen,cup,japan,0.0
625,1955,nissin,raoh ramen noodle soup umami soy sauce flavor,pack,usa,4.75
626,1954,koh thai,island of flavours spicy thai chicken instant noodles soup,pack,netherlands,2.0
627,1953,prima taste,singapore fish soup la mian,pack,singapore,5.0
628,1952,ve wong,kung-fu brand instant oriental noodle soup artificial beef flavor,pack,taiwan,3.75
629,1951,nissin,cup noodles ramen noodle soup hearty chicken flavor [new package],cup,usa,4.25
630,1950,fujiwara,red king crab flavour ramen,pack,japan,4.0
631,1949,bamee,oriental style instant noodles shrimp flavour (tom yum),pack,thailand,3.5
632,1948,sichuan baijia,artificial pickled cabbage fish flavor instant vermicelli,pack,china,1.5
633,1947,prima taste,singapore laksa wholegrain la mian,pack,singapore,5.0
634,1946,nissin,raoh shio ramen,pack,japan,4.75
635,1945,mama,oriental style instant noodles masala flavour,pack,bangladesh,3.5
636,1944,wei lih,gge noodle snack wheat crackers hot spicy,pack,taiwan,5.0
637,1943,new touch,sugomen niigata seabura shoyu ramen,bowl,japan,5.0
638,1942,ibumie,always mi goreng perisa sambal udang,pack,malaysia,3.5
639,1941,unox,good noodles tandoori,pack,netherlands,2.5
640,1940,nissin,cup noodle pasta style bolognese,cup,japan,5.0
641,1939,mama,instant noodles shrimp creamy tom yum flavour,pack,myanmar,5.0
642,1938,nissin,donbei kamodashi soba,bowl,japan,5.0
643,1937,mama,chicken soup flavour cup noodles,cup,myanmar,3.75
644,1936,fortune,rice noodle coconut curry,pack,usa,1.0
645,1935,love cook,guanmiao dried noodles with oleum sesami,pack,taiwan,3.75
646,1934,love cook,guanmiao dried noodles with spicy sauce,pack,taiwan,5.0
647,1933,love cook,guanmiao dried noodles with authentic sauce,pack,taiwan,4.5
648,1932,love cook,guanmiao dried noodles with shallot flavor,pack,taiwan,3.75
649,1931,bonasia,instant noodles chicken flavour,pack,hungary,3.75
650,1930,koh thai,island of flavours lemongrass instant noodles soup,pack,netherlands,0.25
651,1929,mama,instant noodles minced pork flavour,pack,cambodia,3.5
652,1928,bamee,instant noodles oriental style chicken flavour,pack,thailand,3.0
653,1927,marutai,kogashi megiiri tonkotsu kagoshima ramen,bowl,japan,3.5
654,1926,nissin,bowl noodles hot & spicy chicken flavor less sodium ramen noodle soup,bowl,usa,4.0
655,1925,prima,juzz's mee creamy chicken flavour,pack,singapore,5.0
656,1924,sichuan baijia,broad noodle artificial beef flavor,pack,china,3.5
657,1923,conimex,oriental noodles teriyaki,cup,netherlands,0.5
658,1922,mie sedaap,instant cup mi kuah rasa baso spesial,cup,indonesia,1.5
659,1921,nissin,cup noodles ramen noodle soup chicken flavor [new package],cup,usa,3.5
660,1920,itsuki,ramen tonkotudou kumamoto noodles,pack,japan,0.75
661,1919,maruchan,shiroi chikara mochi udon,bowl,japan,4.5
662,1918,imee,instant noodles chicken flavour,pack,netherlands,3.5
663,1917,iburamen,mi goreng bento noodles in a box hot sweet & sour flavor,tray,usa,0.25
664,1916,nissin,soba fried noodles teriyaki,pack,germany,3.0
665,1915,itsuki,yuzu sesame sauce udon,bowl,japan,4.5
666,1914,prima,juzz's mee curry flavour,pack,singapore,5.0
667,1913,thai smile,mushroom rice noodle soup bowl,bowl,usa,0.0
668,1912,mama,instant noodles chicken sichek flavour,pack,myanmar,3.75
669,1911,nissin,emergency chikin ramen cup noodle,cup,japan,5.0
670,1910,nissin,chow mein pad thai,tray,usa,3.0
671,1909,asia gold,instant noodles with chicken flavouring,pack,hungary,3.5
672,1908,nissin,kuroma-yu tonkotsu kumamoto ramen,bowl,japan,4.75
673,1907,prima taste,singapore curry wholegrain la mian,pack,singapore,5.0
674,1906,vifon,chicken flavour asian style instant noodles,pack,vietnam,3.5
675,1905,pirkka,nuudeli kana nudlar kyckling,pack,finland,3.5
676,1904,bonasia,instant noodles duck flavour,pack,hungary,3.0
677,1903,higashimaru,tonkotsu ramen,pack,japan,4.5
678,1902,mama,seafood tom yum sichek flavour,pack,myanmar,5.0
679,1901,prima,juzz's mee original spicy flavour,pack,singapore,5.0
680,1900,ibumie,always mi goreng perisa kari kapitan,pack,malaysia,5.0
681,1899,koh thai,island of flavours thai royal shrimp instant noodles,pack,netherlands,1.5
682,1898,master kong,spicy fish noodle,bowl,china,3.0
683,1897,nissin,cup noodle massaman curry,cup,japan,3.5
684,1896,asia gold,instant noodles duck flavour,pack,hungary,3.5
685,1895,maruchan,seimen houjyun koku shoyu,bowl,japan,5.0
686,1894,mama,rangers snack noodles bbq flavour,pack,myanmar,2.75
687,1893,nissin,cup noodle sio,cup,japan,5.0
688,1892,ottogi,cheese ramen,pack,south korea,4.0
689,1891,nissin,cup noodles homestyle chicken,cup,usa,3.5
690,1890,kuriki,beef tongue shio mayo ramen,pack,japan,4.5
691,1889,mama,rangers snack noodles sour cream flavour,pack,myanmar,2.75
692,1888,nissin,cup noodles kyushu white flavour,cup,singapore,3.5
693,1887,myojo,mee poh dry,pack,singapore,4.25
694,1886,myojo,chicken abalone flavour,bowl,singapore,3.75
695,1885,myojo,ramen char mee 100,pack,singapore,3.0
696,1884,myojo,la ramen spicy mushroom flavour big bowl,bowl,singapore,4.5
697,1883,myojo,mee goreng,pack,singapore,4.0
698,1882,myojo,la ramen spicy lobster hot pot flavour big bowl,bowl,singapore,4.75
699,1881,myojo,chicken abalone flavour,pack,singapore,3.5
700,1880,myojo,thai tom yam flavour,bowl,singapore,3.75
701,1879,myojo,chicken tanmen flavour,pack,singapore,3.5
702,1878,myojo,extra spicy singapore curry big bowl,bowl,singapore,5.0
703,1877,myojo,la ramen spicy mushroom flavour,pack,singapore,4.5
704,1876,myojo,chicken flavour,pack,singapore,3.75
705,1875,sapporo ichiban,tonkotsu ramen artificially flavored tonkotsu white chicken broth,pack,usa,5.0
706,1874,ibumie,always mi goreng perisa thai tom yam,pack,malaysia,2.5
707,1873,vedan,wei wei a instant noodles chicken flavor,bowl,taiwan,0.0
708,1872,itsuki,hakata ossyoi,pack,japan,5.0
709,1871,nissin,cup noodles minced pork flavour,cup,thailand,3.75
710,1870,asia gold,instant noodles with beef flavouring,pack,hungary,2.75
711,1869,nissin,soba fried noodles chili,pack,germany,3.5
712,1868,marutai,kuroma-yu tonkotsu kumamoto ramen,bowl,japan,4.0
713,1867,yum yum,premier bowl instant noodles stewed pork flavour,bowl,thailand,4.0
714,1866,mykuali,penang spicy prawn soup noodle,pack,malaysia,5.0
715,1865,mama,shrimp tom yum flavour cup noodles,cup,myanmar,3.5
716,1864,nissin,raoh ramen noodle soup umami tonkotsu flavor,pack,usa,5.0
717,1863,baijia,broad noodle pickled vegetable artificial beef flavor,pack,china,0.0
718,1862,ibumie,always mi goreng perisa asli,pack,malaysia,3.75
719,1861,conimex,oriental noodles groene curry,cup,netherlands,0.5
720,1860,nissin,cupo noodle pasta style vongole,cup,japan,2.75
721,1859,mama,instant noodles chicken green curry flavour,pack,cambodia,5.0
722,1858,myojo,wantan men,bowl,japan,5.0
723,1857,iburamen,mi goreng bento noodles in a box shallot teriyaki flavor,tray,usa,3.25
724,1856,indomie,instant cup noodles mi goreng fried noodles,cup,indonesia,5.0
725,1855,daraz,negi man ramen,pack,japan,3.0
726,1854,mama,chinese kitchen chinese style instant noodles,pack,myanmar,3.5
727,1853,bonasia,instant noodles shrimp flavour,pack,hungary,3.5
728,1852,myojo,udon japanese style precooked noodles with soup hot & spicy flavor,bowl,usa,3.25
729,1851,fujiwara,snow crab flavour shio ramen,pack,japan,3.5
730,1850,nissin,raoh ramen noodle soup umami miso flavor,pack,usa,4.5
731,1849,pama,instant rice vermicelli clear soup flavour,pack,malaysia,3.5
732,1848,mykuali,penang red tom yum goong noodle (new version),pack,malaysia,5.0
733,1847,conimex,oriental noodles hot & spicy,pack,netherlands,3.0
734,1846,nissin,chow mein savory sauce and restayrant quality noodles roast chicken flavor ,tray,usa,4.5
735,1845,mama,oriental style instant noodles shrimp flavour,pack,bangladesh,3.25
736,1844,seven & i,gold sumire ramen,bowl,japan,5.0
737,1843,forest noodles,sunbaked noodles with sesame sauce,pack,taiwan,4.5
738,1842,forest noodles,purple sweet potato noodles with taiwanese sauce,pack,taiwan,5.0
739,1841,forest noodles,sunbaked noodles with spicy sauce,pack,taiwan,4.0
740,1840,forest noodles,sweet potato noodles with sesame paste sauce,pack,taiwan,3.25
741,1839,vit's,taste of malaysia penang white curry ramen,pack,malaysia,5.0
742,1838,vit's,taste of malaysia penang asam laksa fried instant noodle,pack,malaysia,4.5
743,1837,vit's,taste of malaysia penang hokkien mee ramen,pack,malaysia,5.0
744,1836,vit's,taste of malaysia penang white curry fried instant noodle,pack,malaysia,5.0
745,1835,vit's,taste of malaysia penang asam laksa ramen,pack,malaysia,5.0
746,1834,vit's,taste of malaysia penang hokkien mee fried instant noodle,pack,malaysia,5.0
747,1833,vit's,instant noodles with chicken flavour,pack,malaysia,3.75
748,1832,yum yum,instant flat shaped noodles boat noodles nam tok flavour,pack,thailand,3.5
749,1831,kuriki,plum mayo ramen,pack,japan,4.0
750,1830,tseng noodles,sichuan pepper flavor,pack,taiwan,4.75
751,1829,tseng noodles,hu sesame flavor,pack,taiwan,5.0
752,1828,tseng noodles,scallion with sichuan pepper  flavor,pack,taiwan,5.0
753,1827,nongshim,zha wang ((jjawang) noodles with chajang sauce,pack,south korea,5.0
754,1826,mama,instant noodles stewed beef flavour,pack,cambodia,3.5
755,1825,sichuan baijia,broad noodle chilli oil flavor,pack,china,4.5
756,1824,nongshim,soon veggie noodle soup,cup,usa,5.0
757,1823,mykuali,meekuali spicy fried noodle,pack,malaysia,4.0
758,1822,mi sedaap,mi kuah rasa baso spesial,pack,indonesia,3.5
759,1821,myojo,udon japanese style pre-cooked noodles with soup beef flavor,bowl,usa,3.25
760,1820,ten-in,veggie king buddha jump instant noodles,bowl,taiwan,1.5
761,1819,yum yum,premier bowl instant noodles suki flavour,bowl,thailand,5.0
762,1818,sugakiya foods,nara tenri shoyu ramen,bowl,japan,4.5
763,1817,hao way,penang vegetarian prawn instant bowl noodles,bowl,malaysia,4.0
764,1816,vifon,asian style instant noodles artificial beef flavor,bowl,vietnam,3.25
765,1815,nakaya shouten,hingya no shio ramen,pack,japan,4.0
766,1814,koh thai,island of flavours tom yum instant noodles soup,pack,netherlands,3.0
767,1813,nissin,soba fried noodles curry,pack,germany,4.25
768,1812,master kong,mushroom instant noodle,bowl,china,4.25
769,1811,conimex,oriental noodles oosterse groenten,pack,netherlands,3.5
770,1810,mykuali,penang white curry noodle (new version),pack,malaysia,5.0
771,1809,marutai,nagahama hakata tonkotsu ramen,bowl,japan,4.75
772,1808,mama,vegetarian instant cup noodle tofu & shiitake flavour,cup,thailand,3.5
